"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4646","test_locked_out_user[chromium]","tests.ui","Mon Jul 07 17:46:56 GMT 2025","passed","Mon Jul 07 17:47:00 GMT 2025","","test_login_negative","",""
"","10693","test_example[chromium]","tests.ui","Mon Jul 07 17:46:45 GMT 2025","passed","Mon Jul 07 17:46:55 GMT 2025","","test_e2e_buy_items","",""
"","2268","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Mon Jul 07 17:47:01 GMT 2025","passed","Mon Jul 07 17:47:04 GMT 2025","","test_login_negative","",""
